Attendance_Rate,Unexcused_Absence_Count,Unexcused_Absence_Rate,Late_Count,Consecutive_Unexcused_Absences,Days_Since_Last_Attended,Assignment_Missing_Rate,Assignment_Late_Count,Average_Score,Score_Trend,Has_Overdue_Invoice,Days_Overdue,Class_Progress_Ratio,Is_Dropout
0.7294,4,0.16,0,3,7,0.1502,0,6.16,-0.56,1,1,0.5046,1
0.5716,2,0.2857,2,1,10,0.2558,0,6.23,-1.72,0,0,0.262,0
0.8152,0,0.0,0,0,8,0.3685,1,3.9,-1.19,1,5,0.8683,1
0.845,3,0.1071,1,0,12,0.3562,2,5.68,-0.67,0,0,0.5914,0
0.5812,2,0.4,0,1,15,0.389,1,4.92,-1.4,1,1,0.6278,1
0.9799,0,0.0,0,0,3,0.0218,0,8.83,-0.04,0,0,0.262,1
0.7214,5,0.1786,2,5,13,0.3909,0,7.31,-1.16,1,20,0.1275,1
0.7099,2,0.1818,1,0,2,0.3957,1,4.85,-0.69,1,17,0.5664,0
0.9496,1,0.05,0,1,3,0.077,0,8.09,0.1,0,0,0.7298,0
0.32,8,0.3478,0,3,13,0.8106,1,2.31,-1.53,1,35,0.5819,1
0.6214,3,0.2143,1,1,11,0.42,3,4.43,-1.5,0,0,0.3054,1
0.8725,1,0.0625,0,0,16,0.0608,1,6.56,-0.03,0,0,0.4829,1
0.7162,3,0.2,1,2,10,0.2548,2,8.25,-0.94,0,0,0.3099,1
0.6315,7,0.3043,0,4,20,0.1961,0,6.23,-0.81,0,0,0.4874,1
0.839,2,0.0833,0,0,16,0.4515,1,6.33,0.04,1,24,0.4302,1
0.7461,3,0.2,0,3,15,0.2129,0,6.48,-0.15,0,0,0.8535,1
0.9378,0,0.0,0,0,0,0.1036,0,8.54,-0.65,0,0,0.4743,0
0.7657,4,0.1818,0,3,15,0.4593,0,7.63,-0.68,0,0,0.194,1
0.7902,5,0.1786,0,2,7,0.2512,1,4.79,-1.09,0,0,0.5763,1
0.7592,4,0.1429,1,3,9,0.1104,0,8.3,-0.97,1,18,0.3884,1
0.8056,1,0.25,1,1,14,0.3798,1,9.21,-1.48,0,0,0.5575,0
0.5853,2,0.2,0,1,15,0.4779,1,5.1,-1.21,0,0,0.6412,1
0.8741,1,0.1111,0,0,8,0.2629,0,6.95,-0.58,0,0,0.2279,0
0.8792,1,0.0526,0,1,20,0.22,0,9.46,-0.18,0,0,0.4031,0
0.9312,1,0.037,0,1,1,0.1098,0,8.67,-0.99,0,0,0.5622,0
0.7977,4,0.1333,2,2,19,0.1785,2,6.65,-0.03,0,0,0.7338,1
0.9163,1,0.0455,0,0,3,0.0292,0,8.93,-0.92,0,0,0.3079,0
0.7462,1,0.1667,2,1,3,0.7228,3,2.67,-1.19,0,0,0.4109,1
0.6068,5,0.2083,0,3,3,0.4838,2,7.0,-2.21,0,0,0.3887,0
0.6518,8,0.2963,1,3,1,0.4743,2,5.61,-0.74,0,0,0.4162,1
0.9139,1,0.0588,0,0,3,0.0373,0,7.81,-0.54,0,0,0.504,0
0.9502,0,0.0,0,0,1,0.132,1,8.13,0.08,0,0,0.2426,0
0.7369,2,0.125,0,2,19,0.4172,3,0.55,-0.46,1,36,0.4401,1
0.8411,2,0.1,0,2,14,0.1188,0,7.21,0.11,0,0,0.5382,0
0.7735,3,0.1154,0,3,11,0.4624,1,7.61,-0.92,1,15,0.5681,1
0.7866,3,0.1304,1,1,17,0.2853,1,5.45,-0.28,0,0,0.5468,1
0.8071,3,0.1111,3,1,18,0.5746,2,7.93,-1.37,1,17,0.6016,1
0.7364,3,0.1667,1,0,9,0.309,0,5.9,-1.28,0,0,0.4717,1
0.8549,2,0.1053,2,1,18,0.0551,0,8.6,0.42,0,0,0.521,0
0.6517,2,0.3333,1,2,6,0.5752,2,4.58,-1.26,0,0,0.3301,1
0.9619,0,0.0,0,0,1,0.22,0,8.97,-0.72,0,0,0.2862,0
0.9484,1,0.037,0,0,3,0.1825,1,6.89,-1.33,0,0,0.2276,1
0.6012,5,0.1724,2,3,7,0.1,0,4.43,-0.84,0,0,0.7191,1
0.9202,0,0.0,0,0,0,0.1361,0,6.71,0.69,0,0,0.1112,0
0.939,1,0.0556,0,1,1,0.22,1,7.7,-1.41,0,0,0.5698,0
0.9196,1,0.0667,0,0,0,0.1014,0,8.67,-1.0,0,0,0.6516,0
0.883,1,0.1,0,1,19,0.0153,0,7.21,0.54,0,0,0.6492,0
0.6743,5,0.25,3,4,1,0.2586,2,7.07,-0.03,0,0,0.541,0
0.8951,1,0.0909,2,0,9,0.0771,2,6.02,-0.3,0,0,0.6963,1
0.7495,4,0.2,0,2,9,0.1314,0,6.02,-0.52,1,26,0.7853,1
0.6843,1,0.25,1,1,12,0.62,2,6.92,-1.19,1,45,0.6431,0
0.9704,0,0.0,0,0,3,0.0087,0,8.4,-0.1,0,0,0.3289,0
0.5183,2,0.25,2,1,2,0.1397,0,6.9,0.03,1,45,0.9463,1
0.777,4,0.1538,0,0,13,0.2756,0,6.88,-1.53,0,0,0.3313,0
0.8281,1,0.0909,1,0,18,0.0671,0,7.57,-0.1,0,0,0.5657,1
0.8763,1,0.0769,2,1,20,0.0025,0,8.07,-0.15,0,0,0.3269,1
0.9479,0,0.0,0,0,3,0.2524,2,6.96,0.39,0,0,0.7845,0
0.6311,4,0.3077,1,2,2,0.62,1,7.32,-0.92,0,0,0.8613,1
0.4938,7,0.2917,2,3,2,0.7503,0,4.65,-2.23,0,0,0.3173,1
0.8034,3,0.1304,0,1,6,0.05,0,7.63,0.18,1,14,0.9562,1
0.9397,1,0.0625,0,0,3,0.3705,1,7.75,-0.58,0,0,0.5424,0
0.9269,0,0.0,0,0,2,0.0929,0,7.9,-0.39,0,0,0.5459,0
0.8989,1,0.1429,0,1,3,0.0657,1,7.19,-0.61,1,25,0.7708,1
0.917,2,0.069,1,2,3,0.0142,0,8.57,-0.05,0,0,0.2754,0
0.9584,1,0.04,0,1,3,0.1588,0,7.96,0.92,0,0,0.3045,0
0.854,3,0.12,0,1,7,0.0873,0,7.71,-0.67,0,0,0.5797,0
0.8325,3,0.15,0,2,2,0.163,0,7.33,-0.25,0,0,0.6278,0
0.9173,1,0.0588,0,0,2,0.0803,0,5.89,-0.52,0,0,0.1699,1
0.8547,2,0.0909,0,0,14,0.1774,1,7.57,-0.44,0,0,0.175,0
0.6504,7,0.2333,0,3,2,0.2671,0,3.6,-0.2,0,0,0.4674,1
0.8808,1,0.0476,0,0,19,0.2929,1,5.5,-0.38,0,0,0.6697,1
0.5874,1,0.2,3,1,10,0.4988,2,7.86,-1.72,0,0,0.5469,1
0.3478,4,0.5,6,2,13,0.7284,1,5.84,-2.59,1,1,0.188,0
0.8551,2,0.125,0,1,19,0.2352,2,7.81,-0.99,0,0,0.8501,0
0.9565,1,0.037,0,0,0,0.0917,0,7.27,-0.16,0,0,0.6422,0
0.6617,1,0.1667,2,0,7,0.1343,0,4.52,0.18,1,19,0.3074,1
0.8039,3,0.1429,0,2,2,0.2412,1,8.3,-1.17,0,0,0.5144,0
0.7536,1,0.1111,0,0,8,0.5512,1,7.29,-0.58,1,12,0.214,1
0.688,3,0.1429,1,1,11,0.2354,1,6.58,0.68,0,0,0.3302,1
0.7166,3,0.3,0,0,6,0.2772,1,8.13,-1.01,0,0,0.6771,1
0.7831,3,0.1667,0,1,20,0.4818,2,3.52,-0.13,0,0,0.3264,1
0.9252,0,0.0,1,0,1,0.0964,0,7.38,-0.85,0,0,0.502,1
1.0,0,0.0,0,0,3,0.2536,1,7.74,-0.07,0,0,0.4381,0
0.7396,3,0.1667,1,0,4,0.2081,2,8.17,-0.08,0,0,0.5164,0
0.916,0,0.0,0,0,3,0.0557,0,6.94,0.52,0,0,0.4447,0
1.0,0,0.0,0,0,3,0.0334,1,8.0,-0.15,0,0,0.7104,0
0.8669,0,0.0,0,0,12,0.0864,0,5.74,-0.28,0,0,0.689,1
0.7688,1,0.1111,2,1,11,0.3163,0,7.71,-0.86,0,0,0.2254,1
0.9551,0,0.0,0,0,3,0.0338,1,9.13,0.59,0,0,0.6299,0
0.859,1,0.0769,2,0,10,0.0811,0,6.87,-0.41,0,0,0.5607,1
0.6729,5,0.1667,0,1,20,0.8819,2,4.83,-1.37,0,0,0.7399,1
0.7549,4,0.1379,2,1,20,0.0948,0,5.61,-0.66,0,0,0.4259,0
0.9237,1,0.04,0,0,2,0.0477,0,8.35,0.51,0,0,0.6304,0
0.779,1,0.2,0,1,17,0.0513,0,7.77,-0.46,0,0,0.6607,0
0.8284,4,0.16,0,3,18,0.0885,0,7.72,-0.36,0,0,0.6084,1
0.9245,0,0.0,0,0,0,0.1091,0,6.71,0.71,0,0,0.4287,0
0.4923,10,0.4167,2,7,5,0.2273,0,5.48,-0.78,0,0,0.5107,1
0.7911,1,0.1429,0,1,5,0.5519,3,5.8,-1.52,0,0,0.7104,1
0.4624,2,0.5,3,2,4,0.5288,2,7.28,-1.0,0,0,0.5351,1
0.9979,0,0.0,0,0,0,0.009,0,7.87,-0.26,0,0,0.3023,0
0.8697,1,0.1111,0,0,4,0.4104,1,7.82,-0.53,0,0,0.5893,1
0.7495,4,0.1538,0,2,4,0.5259,1,7.55,-1.81,1,4,0.4742,1
0.9025,2,0.0741,2,1,2,0.1981,1,8.08,-0.9,0,0,0.0662,0
0.949,1,0.0417,0,1,0,0.0038,0,8.06,-0.08,0,0,0.7021,0
0.5861,5,0.3125,2,2,7,0.584,1,4.09,-2.11,0,0,0.6516,1
0.9312,1,0.037,0,0,2,0.0347,0,9.25,-1.05,0,0,0.627,0
0.942,1,0.037,0,0,3,0.0517,0,8.19,0.39,1,29,0.5224,0
0.8447,2,0.1333,1,0,5,0.4372,2,7.1,-1.58,0,0,0.4888,1
0.7598,1,0.25,1,0,12,0.2506,0,7.98,-0.03,0,0,0.6291,0
0.9981,0,0.0,0,0,3,0.037,0,8.92,0.13,0,0,0.2041,0
0.7838,4,0.1905,2,1,4,0.0971,0,6.45,-0.46,0,0,0.4838,0
0.4496,2,0.3333,1,1,12,0.4835,3,2.33,-2.04,1,29,0.4755,1
0.6938,4,0.1739,0,2,15,0.2625,1,7.72,-1.43,1,39,0.8855,1
0.7603,4,0.1905,0,1,6,0.4253,1,8.01,0.38,0,0,0.5032,1
0.976,0,0.0,0,0,0,0.1393,0,8.79,-0.53,0,0,0.4827,0
0.8285,2,0.0952,0,1,15,0.5435,1,5.99,-0.89,0,0,0.2079,1
0.6637,3,0.2,1,3,7,0.4576,1,7.48,-0.17,0,0,0.3184,1
0.959,0,0.0,1,0,0,0.0483,0,7.41,-0.03,0,0,0.6837,0
0.9448,1,0.0526,0,1,2,0.0073,0,8.9,0.36,1,10,0.6122,0
0.9685,0,0.0,0,0,2,0.1103,0,8.92,-0.57,0,0,0.8878,0
0.7386,1,0.2,2,1,4,0.4065,0,4.29,-0.69,0,0,0.7456,1
0.6019,4,0.2222,1,1,20,0.8528,3,7.83,-2.14,1,41,0.6756,1
0.8141,2,0.1176,1,2,13,0.5948,1,6.26,-0.85,1,34,0.5284,1
0.673,3,0.25,1,1,7,0.2747,0,8.18,-1.63,1,38,0.3202,1
0.4996,3,0.2143,2,1,8,0.5032,1,3.77,-2.16,0,0,0.4442,1
0.952,1,0.0435,1,0,3,0.0809,0,5.61,-0.17,0,0,0.3589,0
0.67,2,0.1818,3,2,2,0.8245,1,4.79,-1.49,0,0,0.5317,1
0.9325,1,0.0556,1,1,3,0.003,0,7.7,0.52,0,0,0.596,0
0.841,2,0.1176,0,1,12,0.3025,3,6.58,-0.54,1,6,0.1776,1
0.604,5,0.2,2,1,5,0.544,0,7.26,-1.82,1,10,0.7012,1
0.8229,2,0.1667,0,1,13,0.45,0,6.47,-1.17,0,0,0.5105,1
0.7572,3,0.2143,1,3,5,0.3573,0,5.81,-0.65,1,21,0.2579,0
0.6232,6,0.2727,2,5,12,0.438,5,6.19,-1.13,0,0,0.4613,1
0.7212,2,0.1818,0,0,17,0.3284,0,7.28,-0.77,1,21,0.3897,0
0.9158,1,0.1,0,0,0,0.1831,0,8.22,0.04,0,0,0.2733,0
0.4872,3,0.2727,0,3,20,0.3735,2,6.04,-1.76,1,6,0.0682,1
0.8369,1,0.1111,1,0,3,0.0591,0,8.4,-0.22,0,0,0.5355,0
1.0,0,0.0,0,0,3,0.0105,0,7.64,-0.14,0,0,0.4716,0
0.5327,4,0.3636,2,1,13,0.3493,1,5.18,-1.21,1,40,0.3803,1
0.8045,3,0.1875,1,2,13,0.0712,0,8.55,0.47,0,0,0.8149,1
0.4016,4,0.3077,4,1,1,0.418,2,4.6,-1.88,0,0,0.3291,1
0.8061,2,0.0833,0,2,14,0.2199,1,7.29,-0.82,0,0,0.353,0
0.9659,0,0.0,1,0,2,0.0806,0,6.59,0.06,0,0,0.6528,0
0.4339,1,0.25,3,0,1,0.6932,2,4.56,-1.46,0,0,0.3953,1
0.5326,5,0.3333,1,2,3,0.5289,1,4.19,-0.77,1,23,0.3981,1
0.6854,7,0.25,1,4,1,0.4166,1,5.61,-1.05,1,18,0.5748,1
0.862,1,0.0833,0,1,9,0.3917,1,7.29,-1.66,0,0,0.7131,0
0.7835,2,0.1538,1,1,12,0.3986,0,7.51,-0.99,0,0,0.1657,1
0.7589,2,0.2222,3,1,12,0.2829,2,6.21,-0.76,1,5,0.4906,1
0.8031,2,0.1333,1,0,10,0.2431,2,6.47,0.24,0,0,0.5478,0
0.6858,3,0.2727,0,0,16,0.1537,0,6.19,-0.96,1,2,0.7799,1
0.9531,0,0.0,1,0,3,0.2931,1,6.75,-0.2,0,0,0.7033,0
0.391,2,0.4,1,0,17,0.7877,1,4.18,-2.34,0,0,0.5716,1
0.5855,4,0.2857,1,4,16,0.3444,2,4.92,-2.16,1,37,0.3258,1
0.9007,0,0.0,0,0,1,0.0274,0,7.94,0.09,0,0,0.4881,0
0.8286,1,0.1,0,1,10,0.62,1,6.02,-1.35,0,0,0.1092,1
0.9644,0,0.0,0,0,3,0.0361,0,8.16,-0.57,0,0,0.7094,0
0.704,2,0.1538,0,0,10,0.321,1,3.05,-1.15,0,0,0.2697,0
0.953,0,0.0,0,0,2,0.0193,0,7.81,-0.5,0,0,0.3157,1
0.9182,1,0.0417,0,0,1,0.0361,0,8.41,-0.88,0,0,0.3197,0
0.9417,1,0.0714,0,0,2,0.2391,0,8.52,-0.91,0,0,0.4266,0
0.7419,3,0.2143,1,1,18,0.5266,3,5.18,-1.12,0,0,0.2513,1
0.7968,3,0.1667,0,2,3,0.3197,2,5.84,-0.62,1,25,0.2854,1
0.7493,2,0.125,0,1,13,0.0834,0,8.71,-1.17,0,0,0.5929,0
0.8044,4,0.16,0,2,15,0.5788,0,4.36,-1.84,0,0,0.709,1
0.7543,3,0.2,1,3,8,0.7,0,4.64,-2.45,1,45,0.3994,1
0.7082,1,0.25,0,1,14,0.4293,1,5.47,-0.76,0,0,0.5401,0
0.3006,11,0.5789,3,5,15,0.582,4,4.65,-1.45,0,0,0.7081,1
0.8956,1,0.0588,0,0,12,0.0321,0,9.57,0.29,0,0,0.8007,0
0.6535,2,0.4,2,0,5,0.7293,4,4.43,-1.45,0,0,0.6281,1
0.7008,2,0.2,0,0,8,0.3158,0,6.5,-0.91,0,0,0.2527,0
0.6664,7,0.2593,1,5,1,0.177,0,7.75,-0.57,0,0,0.3594,1
0.6543,4,0.1667,0,1,9,0.3899,0,6.46,-1.3,0,0,0.3226,0
0.8689,3,0.12,0,0,11,0.2009,1,8.97,0.01,0,0,0.3838,0
0.8729,1,0.0455,0,0,3,0.4903,1,5.48,-1.6,0,0,0.5867,0
0.8733,1,0.1429,0,1,1,0.3747,0,7.13,-0.13,0,0,0.6213,1
0.8821,2,0.0909,0,2,20,0.1437,2,9.11,-0.88,0,0,0.8095,0
0.7502,3,0.1667,0,3,18,0.2131,0,6.89,-1.66,0,0,0.7974,0
0.7117,1,0.1667,0,0,7,0.292,1,7.5,0.05,0,0,0.4845,0
0.7381,3,0.1765,0,0,10,0.2408,0,6.43,-0.29,0,0,0.4871,1
0.842,1,0.0769,0,0,17,0.274,1,6.38,-0.4,0,0,0.5771,0
1.0,0,0.0,0,0,1,0.0073,0,8.38,-0.35,0,0,0.2903,0
0.6277,3,0.1765,0,0,5,0.4565,0,3.51,-1.17,1,2,0.6043,1
0.8708,2,0.0909,0,1,2,0.1057,0,7.74,-0.79,0,0,0.3078,0
0.6925,7,0.2414,1,5,2,0.5608,1,5.92,-2.01,0,0,0.7128,1
0.5518,6,0.25,1,3,15,0.4367,0,2.33,-1.28,0,0,0.8184,1
0.7045,4,0.2353,2,1,20,0.1196,0,7.16,0.8,1,34,0.4132,1
0.7459,5,0.2174,2,4,20,0.2636,1,4.41,-1.03,1,18,0.1945,1
0.8998,2,0.0909,0,2,19,0.0229,0,7.81,0.33,0,0,0.4351,0
0.9005,1,0.1,0,0,2,0.2511,0,6.22,0.12,0,0,0.5301,0
0.8616,1,0.1429,0,0,10,0.119,2,7.21,-0.97,0,0,0.8017,0
0.5433,3,0.2143,0,1,2,0.6994,4,3.54,-2.6,0,0,0.3419,1
0.7779,2,0.125,1,2,11,0.3214,1,5.83,0.18,0,0,0.5368,1
0.9655,1,0.0556,0,1,3,0.22,1,7.64,-0.54,0,0,0.5916,0
0.8404,1,0.0833,1,1,7,0.4237,1,7.39,-1.21,0,0,0.4332,1
0.6552,6,0.3,1,2,5,0.4771,3,5.99,-1.56,0,0,0.6562,1
0.8603,1,0.0833,0,1,5,0.2518,1,7.42,-0.17,0,0,0.7767,0
0.7737,2,0.2222,1,1,15,0.4015,1,4.49,-1.36,0,0,0.6865,1
0.3859,7,0.4667,3,7,7,0.7558,1,3.5,-2.48,0,0,0.5552,1
0.8724,2,0.0952,0,0,5,0.3111,1,8.87,-1.87,0,0,0.5073,0
0.8887,2,0.1053,1,1,17,0.1272,2,8.76,-0.87,0,0,0.4603,0
0.9621,0,0.0,0,0,0,0.0409,0,8.89,0.44,0,0,0.1798,0
0.9741,0,0.0,0,0,2,0.0903,0,6.97,-0.76,1,22,0.6438,1
0.899,1,0.0833,0,0,18,0.1826,0,8.08,0.16,0,0,0.236,0
0.8357,1,0.0833,0,1,7,0.0841,0,7.63,-0.1,0,0,0.6129,0
0.3373,7,0.4667,4,4,13,0.7256,1,5.39,-1.03,1,20,0.3585,1
0.9699,0,0.0,1,0,0,0.0352,0,8.01,-0.09,0,0,0.4937,0
0.813,2,0.125,0,1,12,0.2603,1,5.42,-1.02,0,0,0.2744,0
0.8043,3,0.1765,0,1,14,0.45,0,8.42,-0.09,0,0,0.2099,0
0.9657,1,0.0526,0,0,2,0.0263,0,7.64,-0.06,0,0,0.5255,0
0.9741,0,0.0,0,0,1,0.0908,0,7.74,-0.77,0,0,0.2787,0
0.8943,1,0.0714,1,0,7,0.0419,1,7.76,-0.26,0,0,0.5185,0
0.7031,2,0.1818,1,0,7,0.2089,0,5.72,-1.12,0,0,0.2547,0
0.695,3,0.1875,1,1,12,0.7234,5,3.78,-2.82,1,4,0.7283,1
0.7492,2,0.1429,0,1,9,0.1749,0,4.57,-0.64,1,37,0.1835,1
0.7833,2,0.1667,0,1,17,0.2157,0,4.92,-0.39,1,34,0.3237,1
0.6108,4,0.3333,1,3,13,0.5551,5,2.75,-1.4,1,36,0.4283,1
0.8914,2,0.0741,0,1,10,0.22,0,8.08,0.38,0,0,0.6752,0
0.7347,2,0.2,0,0,11,0.5206,2,7.9,-1.14,0,0,0.4707,0
0.3562,3,0.5,5,2,10,0.6948,3,6.1,-2.53,0,0,0.1156,1
0.7631,2,0.2,4,1,14,0.3647,1,5.06,-1.12,0,0,0.4347,0
0.9232,1,0.0455,0,0,1,0.1893,0,8.67,-0.32,0,0,0.3602,0
0.7987,3,0.1765,0,2,13,0.0667,0,8.33,-0.84,0,0,0.2114,1
0.7691,3,0.12,0,0,11,0.3163,1,7.17,-0.77,1,1,0.6378,1
0.949,0,0.0,0,0,2,0.117,2,8.21,-0.35,0,0,0.5639,0
0.6525,4,0.2353,2,3,7,0.7607,3,3.32,-1.04,0,0,0.7301,1
0.9448,0,0.0,0,0,2,0.0638,0,6.71,-0.24,0,0,0.4524,0
0.7406,3,0.15,3,3,14,0.1191,1,5.45,0.22,0,0,0.7381,1
0.914,0,0.0,0,0,3,0.0152,0,7.86,0.03,0,0,0.7763,0
0.5788,2,0.3333,1,0,8,0.0853,0,7.89,-1.69,0,0,0.5582,1
0.7928,1,0.1111,1,1,8,0.174,0,6.43,-1.05,0,0,0.8356,0
0.7852,1,0.2,2,0,10,0.2439,0,7.13,-0.63,0,0,0.5889,0
0.9868,0,0.0,0,0,3,0.175,1,9.76,-0.57,0,0,0.5591,0
0.9957,0,0.0,0,0,2,0.0068,0,7.55,-0.34,0,0,0.6652,0
0.5182,2,0.3333,2,2,14,0.5057,3,4.05,-1.24,1,42,0.5388,1
0.2517,12,0.4615,0,6,16,0.706,2,2.52,-1.7,0,0,0.1314,1
0.8969,1,0.0833,1,0,20,0.2767,0,8.84,-0.14,1,12,0.3385,1
0.7012,3,0.2308,0,3,5,0.1996,1,4.62,-0.74,0,0,0.5511,1
0.5915,9,0.36,0,7,7,0.3755,2,4.0,-0.95,0,0,0.4377,1
0.9478,0,0.0,0,0,3,0.0135,1,7.83,0.56,0,0,0.4934,0
0.956,0,0.0,0,0,2,0.1036,0,9.08,0.04,0,0,0.2182,0
0.699,3,0.1875,2,0,5,0.3955,1,7.3,-1.19,0,0,0.795,0
0.4119,3,0.5,2,2,11,0.5875,2,6.73,-2.02,0,0,0.5069,1
0.7377,4,0.2353,0,3,6,0.4178,0,6.54,-0.96,1,19,0.4481,1
0.843,2,0.1176,1,1,12,0.0362,0,7.11,-0.21,0,0,0.7511,0
0.7169,2,0.1333,0,2,1,0.1671,0,5.92,-0.58,1,22,0.7271,1
0.6343,9,0.3,0,9,18,0.1432,0,5.45,-0.77,0,0,0.3844,0
0.9348,0,0.0,0,0,1,0.0907,0,7.72,0.34,0,0,0.7407,0
1.0,0,0.0,1,0,0,0.0416,0,9.06,0.03,0,0,0.5863,0
0.1918,3,0.4286,2,0,6,0.6137,2,4.25,-1.67,0,0,0.2922,1
0.9216,2,0.08,0,0,2,0.0343,0,7.2,-0.42,0,0,0.1744,0
0.464,8,0.4706,4,6,3,0.668,0,3.96,-0.68,1,33,0.8636,1
0.645,6,0.3158,3,4,4,0.1814,1,8.96,-0.77,1,41,0.7756,1
0.3608,8,0.4444,3,7,20,0.7973,3,3.49,-1.6,0,0,0.3274,1
0.8411,2,0.0909,0,2,9,0.1172,1,6.31,0.2,0,0,0.8747,0
0.4216,2,0.4,3,1,18,0.3418,1,3.08,-0.54,0,0,0.281,1
1.0,0,0.0,0,0,0,0.45,3,6.99,-1.9,0,0,0.4565,0
0.6073,3,0.25,1,2,10,0.1726,1,5.12,-0.02,0,0,0.4197,1
