Excused_Absences,Unexcused_Absences,Consecutive_Absences,Missed_Homework_Ratio,Is_Dropout
4,5,4,0.655,1
4,0,0,0.1409,1
0,0,0,0.1253,0
1,1,2,0.3015,1
2,2,2,0.577,0
2,0,1,0.2924,0
1,1,0,0.1494,0
3,0,0,0.2106,0
1,0,0,0.25,0
0,0,0,0.121,0
0,0,0,0.0921,0
1,5,6,0.677,1
1,0,0,0.0125,0
1,1,0,0.5062,0
3,0,0,0.1788,1
4,1,0,0.45,1
3,1,0,0.2798,0
0,0,0,0.1365,0
1,0,0,0.3644,0
0,2,1,0.4651,1
1,4,2,0.8235,1
0,1,1,0.5664,1
1,0,1,0.2991,0
0,0,0,0.029,0
1,0,1,0.2162,0
2,1,3,0.5886,1
4,1,0,0.4363,0
1,1,0,0.1261,1
0,0,0,0.1695,0
2,6,2,0.8133,1
0,0,0,0.1101,0
2,6,2,0.6659,1
0,0,0,0.0152,0
4,2,2,0.5991,1
1,0,0,0.5,0
3,0,0,0.3381,0
0,1,0,0.3717,0
2,2,2,0.3687,1
3,2,2,0.5241,1
0,0,0,0.0325,0
0,1,0,0.2387,0
2,1,0,0.448,0
5,0,1,0.2496,0
1,1,2,0.7486,1
1,0,1,0.323,0
1,0,0,0.2129,0
2,0,1,0.4114,0
1,0,1,0.3111,0
3,0,1,0.1251,0
1,5,3,0.778,1
0,0,0,0.2428,0
2,1,0,0.2276,0
2,0,0,0.0525,0
1,1,0,0.0528,0
2,2,0,0.3774,0
0,0,0,0.151,0
2,5,3,0.7992,1
2,1,1,0.55,1
1,2,1,0.55,1
2,1,1,0.55,0
0,3,0,0.3149,0
0,0,0,0.0261,0
3,3,2,0.7589,1
4,0,1,0.05,0
0,0,0,0.0441,0
1,1,1,0.2624,0
1,2,3,0.4954,1
0,0,0,0.204,0
0,7,2,0.7074,1
1,0,0,0.05,0
2,2,2,0.2123,0
0,0,0,0.0376,0
1,2,3,0.9432,1
1,2,2,0.7955,1
3,0,0,0.108,1
1,5,0,0.7093,1
0,0,0,0.0062,0
5,0,0,0.0592,0
1,0,0,0.1685,0
1,6,6,0.9162,1
3,2,1,0.2288,0
3,0,0,0.0779,0
2,1,1,0.1554,0
0,4,4,0.8853,1
0,2,0,0.4607,1
1,4,3,0.5323,1
0,2,2,0.4735,0
1,2,1,0.4521,1
3,0,1,0.1769,0
3,1,0,0.1387,0
1,3,2,0.9536,1
1,4,3,0.4106,1
1,0,0,0.05,0
3,4,4,0.4662,1
0,4,2,0.7153,1
2,7,1,0.5463,1
3,0,0,0.2029,0
3,2,0,0.1247,0
0,3,1,0.4281,1
0,5,3,0.8551,1
0,0,0,0.25,0
0,1,1,0.55,0
2,3,3,0.5474,1
1,5,2,0.2655,1
2,0,1,0.2098,0
0,0,0,0.1133,0
1,0,0,0.1297,0
4,2,1,0.2238,0
1,0,0,0.1672,0
0,2,2,0.9721,1
0,0,0,0.2181,0
2,0,0,0.0983,0
1,0,0,0.163,0
0,0,0,0.0361,0
1,1,1,0.4322,1
4,5,0,0.85,1
1,0,0,0.45,1
1,3,4,0.5432,1
1,0,0,0.1248,0
3,2,0,0.1985,1
3,7,3,0.2952,1
0,0,0,0.1233,0
2,0,0,0.2262,1
3,1,3,0.5269,1
1,1,0,0.1604,1
3,0,0,0.2988,0
2,1,1,0.2629,0
0,0,0,0.1122,0
0,0,0,0.3611,0
3,0,0,0.4122,0
2,1,0,0.2976,0
0,0,0,0.1542,0
2,0,1,0.4028,0
2,7,2,0.9141,1
0,0,0,0.061,0
5,0,0,0.3496,1
3,0,1,0.1734,0
3,2,0,0.256,0
1,1,1,0.2345,1
2,2,0,0.2739,0
0,4,2,0.676,1
4,1,0,0.187,0
1,0,0,0.0117,0
1,2,0,0.3492,0
3,2,0,0.4807,0
0,0,0,0.0897,0
2,3,3,0.7218,1
3,0,0,0.05,0
0,6,3,0.5936,1
1,3,0,0.5407,1
5,2,1,0.6922,1
2,4,2,0.6432,1
1,0,1,0.2845,0
0,3,1,0.6037,1
1,0,0,0.3223,0
1,4,0,0.0775,0
1,0,0,0.1174,0
3,1,0,0.2306,1
2,0,0,0.1443,0
0,4,0,0.4811,1
3,0,0,0.2822,0
1,4,0,0.1031,1
1,4,2,0.3994,0
1,6,2,0.3651,1
1,2,0,0.6155,1
1,4,0,0.1594,1
3,5,0,0.6313,1
1,0,0,0.0148,0
0,6,1,0.6838,1
0,3,2,0.644,1
3,3,0,0.1285,0
0,0,0,0.0242,0
6,0,1,0.1336,0
2,4,0,0.1688,0
2,1,0,0.2909,1
0,2,0,0.2645,1
3,4,7,0.8932,1
1,4,4,0.8762,1
2,1,0,0.1544,0
2,0,0,0.1522,0
0,6,3,0.4148,1
5,0,0,0.3339,0
3,0,0,0.1337,1
0,0,0,0.0504,0
1,0,1,0.3543,0
4,0,1,0.2257,1
4,2,0,0.0827,0
2,2,1,0.5399,1
0,0,0,0.1044,0
0,0,0,0.25,0
1,0,0,0.2554,0
4,1,0,0.2229,0
