Lead_Source,Occupation,Study_Purpose,Course_Interested,Last_Engagement_Status,Call_Attempt_Count,Days_Since_Created,Converted,_bin
facebook,parent_enrolling,hobby,kids_english,rejected,4,19.0,0,4-5
facebook,,study_abroad,ielts,interested_need_time,4,1.0,1,4-5
tiktok,,hobby,communication_english,rejected,1,4.0,0,1
google_ads,student_y3_y4,pass_exam,communication_english,not_answering,7,6.0,0,6+
facebook,parent_enrolling,pass_exam,kids_english,busy_call_back,2,19.0,0,2-3
google_ads,student_y3_y4,pass_exam,communication_english,busy_call_back,2,3.0,0,2-3
facebook,student_y3_y4,hobby,communication_english,positive_interaction,3,2.0,0,2-3
tiktok,working_professional,career_advancement,communication_english,positive_interaction,1,11.0,1,1
google_ads,student_y3_y4,pass_exam,toeic,busy_call_back,2,11.0,0,2-3
facebook,student_y3_y4,study_abroad,ielts,not_answering,1,10.0,1,1
facebook,parent_enrolling,pass_exam,kids_english,not_answering,4,4.0,0,4-5
google_ads,working_professional,pass_exam,communication_english,not_answering,4,0.0,1,4-5
facebook,working_professional,career_advancement,toeic,positive_interaction,3,5.0,1,2-3
facebook,working_professional,career_advancement,ielts,not_answering,2,12.0,0,2-3
facebook,unemployed,career_advancement,backend_nodejs,not_answering,2,15.0,1,2-3
referral,unemployed,hobby,data_analysis,busy_call_back,5,2.0,1,4-5
referral,working_professional,company_training,data_analysis,not_answering,3,25.0,0,2-3
tiktok,student_y3_y4,study_abroad,ielts,rejected,3,,0,2-3
facebook,student_y1_y2,career_advancement,communication_english,busy_call_back,1,14.0,0,1
referral,working_professional,career_advancement,communication_english,rejected,2,6.0,0,2-3
tiktok,unemployed,career_advancement,communication_english,positive_interaction,2,23.0,1,2-3
tiktok,student_y3_y4,pass_exam,toeic,interested_need_time,4,6.0,1,4-5
google_ads,student_y1_y2,pass_exam,communication_english,busy_call_back,5,42.0,0,4-5
facebook,student_y3_y4,career_advancement,communication_english,positive_interaction,8,9.0,0,6+
facebook,student_y3_y4,study_abroad,ielts,positive_interaction,2,30.0,1,2-3
referral,unemployed,career_advancement,backend_nodejs,not_answering,3,3.0,0,2-3
google_ads,student_y1_y2,career_advancement,communication_english,rejected,4,6.0,0,4-5
facebook,working_professional,company_training,data_analysis,busy_call_back,2,4.0,0,2-3
facebook,working_professional,company_training,data_analysis,busy_call_back,3,0.0,0,2-3
google_ads,parent_enrolling,hobby,kids_english,busy_call_back,4,10.0,0,4-5
facebook,student_y1_y2,pass_exam,toeic,positive_interaction,2,1.0,1,2-3
website_organic,parent_enrolling,study_abroad,kids_english,busy_call_back,2,0.0,1,2-3
tiktok,working_professional,career_advancement,communication_english,busy_call_back,2,18.0,0,2-3
tiktok,working_professional,company_training,communication_english,not_answering,3,34.0,0,2-3
google_ads,student_y1_y2,career_advancement,toeic,busy_call_back,2,38.0,0,2-3
google_ads,student_y3_y4,pass_exam,toeic,not_answering,2,11.0,0,2-3
google_ads,working_professional,career_advancement,communication_english,wrong_number,1,,1,1
google_ads,student_y3_y4,pass_exam,toeic,busy_call_back,5,3.0,1,4-5
facebook,student_y3_y4,pass_exam,communication_english,rejected,5,15.0,0,4-5
google_ads,working_professional,career_advancement,toeic,positive_interaction,6,3.0,1,6+
facebook,working_professional,career_advancement,ielts,positive_interaction,5,12.0,1,4-5
google_ads,student_y1_y2,career_advancement,backend_nodejs,rejected,1,33.0,0,1
facebook,student_y3_y4,hobby,toeic,not_answering,1,3.0,0,1
facebook,student_y1_y2,study_abroad,ielts,interested_need_time,3,3.0,0,2-3
facebook,parent_enrolling,hobby,kids_english,not_answering,3,1.0,0,2-3
google_ads,parent_enrolling,pass_exam,communication_english,not_answering,4,8.0,0,4-5
facebook,student_y3_y4,career_advancement,backend_nodejs,busy_call_back,2,7.0,1,2-3
referral,,pass_exam,toeic,positive_interaction,6,20.0,1,6+
google_ads,student_y1_y2,pass_exam,toeic,positive_interaction,2,12.0,1,2-3
facebook,student_y3_y4,study_abroad,ielts,not_answering,3,14.0,0,2-3
google_ads,unemployed,hobby,communication_english,positive_interaction,5,4.0,0,4-5
facebook,student_y3_y4,study_abroad,communication_english,not_answering,3,23.0,0,2-3
referral,student_y1_y2,study_abroad,ielts,not_answering,4,17.0,0,4-5
google_ads,student_y1_y2,pass_exam,toeic,not_answering,4,19.0,0,4-5
tiktok,student_y1_y2,career_advancement,toeic,interested_need_time,4,31.0,0,4-5
facebook,unemployed,career_advancement,toeic,busy_call_back,5,15.0,1,4-5
google_ads,working_professional,company_training,frontend,not_answering,2,17.0,0,2-3
google_ads,working_professional,career_advancement,ielts,not_answering,2,23.0,0,2-3
referral,student_y3_y4,pass_exam,toeic,interested_need_time,5,17.0,1,4-5
google_ads,parent_enrolling,hobby,ielts,positive_interaction,3,15.0,1,2-3
google_ads,student_y3_y4,study_abroad,ielts,not_answering,3,7.0,0,2-3
facebook,,career_advancement,backend_nodejs,positive_interaction,2,1.0,1,2-3
facebook,unemployed,study_abroad,communication_english,interested_need_time,2,2.0,0,2-3
google_ads,student_y3_y4,pass_exam,communication_english,busy_call_back,3,1.0,1,2-3
google_ads,unemployed,hobby,frontend,not_answering,7,15.0,0,6+
facebook,student_y3_y4,study_abroad,toeic,rejected,2,3.0,0,2-3
website_organic,working_professional,career_advancement,data_analysis,busy_call_back,2,21.0,0,2-3
website_organic,student_y1_y2,study_abroad,ielts,busy_call_back,1,3.0,0,1
facebook,student_y3_y4,hobby,communication_english,wrong_number,3,0.0,0,2-3
google_ads,student_y1_y2,study_abroad,ielts,positive_interaction,2,9.0,1,2-3
facebook,student_y1_y2,career_advancement,toeic,positive_interaction,4,14.0,1,4-5
tiktok,student_y1_y2,pass_exam,toeic,positive_interaction,1,4.0,1,1
facebook,student_y3_y4,study_abroad,toeic,not_answering,2,8.0,1,2-3
tiktok,working_professional,company_training,frontend,positive_interaction,1,0.0,1,1
tiktok,student_y3_y4,pass_exam,communication_english,busy_call_back,1,1.0,1,1
tiktok,student_y3_y4,hobby,toeic,wrong_number,5,3.0,0,4-5
facebook,parent_enrolling,hobby,kids_english,busy_call_back,6,9.0,0,6+
referral,parent_enrolling,pass_exam,kids_english,not_answering,4,0.0,1,4-5
facebook,student_y1_y2,pass_exam,toeic,busy_call_back,5,0.0,0,4-5
facebook,student_y3_y4,pass_exam,toeic,positive_interaction,1,22.0,1,1
google_ads,working_professional,career_advancement,frontend,interested_need_time,5,14.0,0,4-5
facebook,working_professional,career_advancement,frontend,positive_interaction,3,3.0,1,2-3
website_organic,student_y3_y4,study_abroad,ielts,not_answering,4,6.0,1,4-5
website_organic,,career_advancement,ielts,not_answering,3,16.0,1,2-3
facebook,student_y1_y2,study_abroad,toeic,interested_need_time,2,25.0,1,2-3
referral,student_y3_y4,pass_exam,communication_english,busy_call_back,2,5.0,0,2-3
facebook,working_professional,company_training,ielts,positive_interaction,1,19.0,1,1
google_ads,working_professional,career_advancement,ielts,rejected,2,1.0,0,2-3
facebook,unemployed,career_advancement,data_analysis,positive_interaction,3,,1,2-3
referral,student_y1_y2,study_abroad,ielts,busy_call_back,8,13.0,0,6+
facebook,student_y1_y2,pass_exam,ielts,interested_need_time,1,13.0,0,1
facebook,student_y1_y2,pass_exam,toeic,rejected,3,11.0,0,2-3
google_ads,student_y1_y2,study_abroad,communication_english,positive_interaction,3,62.0,1,2-3
other,student_y1_y2,study_abroad,communication_english,positive_interaction,1,,1,1
website_organic,student_y3_y4,study_abroad,communication_english,busy_call_back,2,0.0,0,2-3
tiktok,student_y3_y4,study_abroad,communication_english,positive_interaction,2,1.0,1,2-3
website_organic,working_professional,hobby,data_analysis,not_answering,3,20.0,0,2-3
website_organic,,pass_exam,communication_english,positive_interaction,2,,0,2-3
google_ads,,pass_exam,toeic,wrong_number,1,12.0,0,1
facebook,working_professional,company_training,toeic,rejected,2,0.0,0,2-3
tiktok,,study_abroad,toeic,not_answering,5,18.0,0,4-5
tiktok,unemployed,career_advancement,communication_english,positive_interaction,5,12.0,1,4-5
facebook,student_y1_y2,pass_exam,toeic,not_answering,1,7.0,0,1
facebook,student_y3_y4,career_advancement,communication_english,busy_call_back,3,18.0,0,2-3
tiktok,unemployed,hobby,communication_english,positive_interaction,6,,0,6+
facebook,working_professional,career_advancement,communication_english,busy_call_back,1,17.0,1,1
referral,working_professional,company_training,data_analysis,busy_call_back,1,5.0,0,1
facebook,working_professional,career_advancement,frontend,positive_interaction,1,,1,1
facebook,student_y1_y2,career_advancement,toeic,positive_interaction,1,23.0,1,1
website_organic,working_professional,company_training,data_analysis,interested_need_time,5,8.0,0,4-5
facebook,unemployed,career_advancement,communication_english,interested_need_time,5,7.0,0,4-5
facebook,parent_enrolling,study_abroad,communication_english,positive_interaction,3,2.0,1,2-3
google_ads,student_y3_y4,study_abroad,ielts,busy_call_back,2,7.0,1,2-3
website_organic,student_y3_y4,study_abroad,ielts,not_answering,5,4.0,1,4-5
facebook,working_professional,career_advancement,toeic,interested_need_time,1,10.0,0,1
facebook,student_y3_y4,hobby,ielts,positive_interaction,1,26.0,1,1
tiktok,student_y3_y4,hobby,toeic,not_answering,1,5.0,0,1
referral,student_y1_y2,study_abroad,ielts,not_answering,5,,0,4-5
google_ads,student_y1_y2,pass_exam,toeic,rejected,4,17.0,0,4-5
facebook,student_y3_y4,career_advancement,communication_english,wrong_number,3,2.0,0,2-3
facebook,student_y1_y2,study_abroad,ielts,interested_need_time,4,2.0,1,4-5
facebook,student_y1_y2,study_abroad,ielts,positive_interaction,1,23.0,1,1
facebook,student_y1_y2,pass_exam,communication_english,rejected,2,,0,2-3
tiktok,parent_enrolling,pass_exam,communication_english,interested_need_time,5,20.0,0,4-5
facebook,student_y1_y2,study_abroad,ielts,not_answering,6,11.0,0,6+
google_ads,,pass_exam,communication_english,interested_need_time,3,0.0,1,2-3
tiktok,student_y3_y4,pass_exam,toeic,rejected,1,4.0,1,1
google_ads,student_y1_y2,study_abroad,ielts,positive_interaction,7,1.0,1,6+
facebook,parent_enrolling,study_abroad,kids_english,not_answering,2,24.0,0,2-3
website_organic,parent_enrolling,pass_exam,kids_english,rejected,2,12.0,0,2-3
tiktok,student_y3_y4,study_abroad,communication_english,positive_interaction,1,27.0,1,1
tiktok,student_y3_y4,pass_exam,communication_english,busy_call_back,1,2.0,1,1
facebook,student_y3_y4,pass_exam,toeic,rejected,3,,0,2-3
facebook,student_y1_y2,pass_exam,backend_nodejs,positive_interaction,3,5.0,1,2-3
referral,student_y3_y4,pass_exam,frontend,positive_interaction,2,1.0,1,2-3
facebook,student_y1_y2,hobby,toeic,rejected,1,8.0,0,1
facebook,student_y1_y2,pass_exam,toeic,not_answering,3,17.0,0,2-3
google_ads,working_professional,pass_exam,data_analysis,positive_interaction,2,10.0,1,2-3
tiktok,student_y1_y2,study_abroad,ielts,busy_call_back,2,27.0,0,2-3
referral,student_y1_y2,career_advancement,toeic,wrong_number,2,8.0,0,2-3
facebook,student_y3_y4,pass_exam,toeic,wrong_number,5,2.0,1,4-5
referral,student_y3_y4,study_abroad,communication_english,positive_interaction,8,1.0,1,6+
facebook,student_y1_y2,career_advancement,toeic,positive_interaction,2,10.0,1,2-3
google_ads,student_y1_y2,pass_exam,communication_english,positive_interaction,4,2.0,1,4-5
google_ads,student_y1_y2,study_abroad,ielts,not_answering,5,25.0,0,4-5
facebook,student_y1_y2,pass_exam,communication_english,busy_call_back,1,29.0,0,1
facebook,unemployed,study_abroad,backend_nodejs,not_answering,6,13.0,0,6+
google_ads,parent_enrolling,pass_exam,kids_english,positive_interaction,3,8.0,1,2-3
referral,student_y3_y4,pass_exam,ielts,interested_need_time,3,0.0,1,2-3
google_ads,student_y3_y4,pass_exam,toeic,interested_need_time,3,0.0,1,2-3
referral,working_professional,career_advancement,communication_english,not_answering,2,17.0,1,2-3
website_organic,working_professional,career_advancement,data_analysis,interested_need_time,4,9.0,1,4-5
google_ads,student_y1_y2,career_advancement,ielts,busy_call_back,4,15.0,0,4-5
tiktok,student_y1_y2,pass_exam,toeic,rejected,1,0.0,1,1
facebook,student_y3_y4,study_abroad,ielts,wrong_number,3,1.0,1,2-3
facebook,working_professional,career_advancement,frontend,interested_need_time,7,19.0,0,6+
website_organic,student_y1_y2,hobby,toeic,positive_interaction,5,8.0,0,4-5
tiktok,student_y3_y4,career_advancement,communication_english,not_answering,3,11.0,0,2-3
facebook,student_y3_y4,pass_exam,communication_english,not_answering,1,17.0,0,1
google_ads,student_y3_y4,pass_exam,toeic,interested_need_time,2,3.0,1,2-3
google_ads,student_y3_y4,hobby,communication_english,positive_interaction,1,3.0,1,1
website_organic,working_professional,career_advancement,toeic,not_answering,5,7.0,0,4-5
google_ads,student_y3_y4,hobby,toeic,not_answering,4,0.0,0,4-5
google_ads,student_y1_y2,hobby,ielts,interested_need_time,6,36.0,0,6+
facebook,student_y1_y2,pass_exam,communication_english,not_answering,1,8.0,0,1
google_ads,unemployed,hobby,backend_nodejs,busy_call_back,7,0.0,0,6+
tiktok,student_y3_y4,pass_exam,toeic,busy_call_back,7,3.0,0,6+
website_organic,student_y1_y2,pass_exam,communication_english,rejected,4,13.0,0,4-5
google_ads,student_y3_y4,career_advancement,communication_english,busy_call_back,5,,0,4-5
facebook,unemployed,hobby,communication_english,not_answering,2,9.0,0,2-3
facebook,working_professional,career_advancement,data_analysis,not_answering,2,41.0,0,2-3
tiktok,unemployed,hobby,backend_nodejs,not_answering,1,0.0,0,1
website_organic,working_professional,career_advancement,toeic,positive_interaction,1,17.0,1,1
facebook,student_y3_y4,hobby,toeic,busy_call_back,1,,0,1
facebook,student_y3_y4,pass_exam,communication_english,not_answering,4,3.0,1,4-5
google_ads,student_y1_y2,study_abroad,toeic,rejected,2,6.0,1,2-3
facebook,working_professional,pass_exam,data_analysis,positive_interaction,1,7.0,1,1
website_organic,working_professional,career_advancement,toeic,not_answering,1,12.0,0,1
facebook,student_y1_y2,hobby,toeic,not_answering,4,5.0,0,4-5
facebook,unemployed,study_abroad,backend_nodejs,positive_interaction,6,1.0,0,6+
referral,student_y3_y4,pass_exam,communication_english,positive_interaction,2,11.0,1,2-3
facebook,student_y1_y2,study_abroad,ielts,rejected,4,6.0,0,4-5
facebook,student_y3_y4,pass_exam,communication_english,not_answering,7,12.0,0,6+
facebook,unemployed,career_advancement,communication_english,positive_interaction,4,12.0,0,4-5
facebook,parent_enrolling,study_abroad,kids_english,not_answering,4,4.0,0,4-5
facebook,student_y3_y4,study_abroad,toeic,busy_call_back,3,12.0,0,2-3
facebook,parent_enrolling,hobby,kids_english,positive_interaction,7,6.0,0,6+
facebook,unemployed,career_advancement,backend_nodejs,positive_interaction,2,27.0,0,2-3
facebook,unemployed,career_advancement,data_analysis,not_answering,4,9.0,0,4-5
google_ads,unemployed,hobby,communication_english,not_answering,2,4.0,0,2-3
tiktok,student_y3_y4,study_abroad,ielts,positive_interaction,1,2.0,1,1
facebook,working_professional,pass_exam,communication_english,not_answering,4,0.0,1,4-5
facebook,working_professional,pass_exam,communication_english,busy_call_back,5,,1,4-5
google_ads,working_professional,company_training,ielts,not_answering,5,1.0,0,4-5
website_organic,student_y1_y2,pass_exam,toeic,not_answering,6,6.0,0,6+
website_organic,working_professional,hobby,frontend,positive_interaction,4,0.0,1,4-5
facebook,parent_enrolling,pass_exam,kids_english,not_answering,3,0.0,0,2-3
facebook,student_y3_y4,career_advancement,toeic,interested_need_time,6,2.0,1,6+
facebook,parent_enrolling,study_abroad,kids_english,positive_interaction,2,11.0,1,2-3
facebook,student_y3_y4,pass_exam,ielts,not_answering,1,20.0,0,1
google_ads,student_y1_y2,pass_exam,frontend,interested_need_time,2,3.0,0,2-3
google_ads,student_y1_y2,study_abroad,ielts,busy_call_back,3,2.0,0,2-3
facebook,working_professional,career_advancement,toeic,positive_interaction,4,9.0,1,4-5
facebook,working_professional,hobby,data_analysis,positive_interaction,5,7.0,1,4-5
google_ads,student_y3_y4,career_advancement,toeic,positive_interaction,1,27.0,1,1
facebook,working_professional,career_advancement,communication_english,busy_call_back,5,9.0,0,4-5
website_organic,student_y3_y4,career_advancement,toeic,positive_interaction,3,6.0,1,2-3
facebook,student_y3_y4,study_abroad,ielts,interested_need_time,7,11.0,1,6+
referral,unemployed,career_advancement,backend_nodejs,busy_call_back,2,3.0,0,2-3
facebook,working_professional,company_training,ielts,not_answering,3,15.0,0,2-3
website_organic,working_professional,career_advancement,data_analysis,not_answering,4,18.0,0,4-5
referral,working_professional,career_advancement,frontend,not_answering,3,0.0,1,2-3
referral,parent_enrolling,study_abroad,kids_english,not_answering,1,10.0,1,1
website_organic,student_y1_y2,career_advancement,toeic,rejected,1,16.0,0,1
tiktok,student_y3_y4,pass_exam,toeic,rejected,1,1.0,0,1
google_ads,student_y1_y2,pass_exam,ielts,not_answering,3,1.0,0,2-3
tiktok,working_professional,company_training,data_analysis,rejected,3,11.0,0,2-3
facebook,working_professional,hobby,data_analysis,positive_interaction,3,11.0,1,2-3
google_ads,working_professional,career_advancement,communication_english,busy_call_back,4,8.0,0,4-5
google_ads,student_y3_y4,pass_exam,frontend,rejected,1,24.0,0,1
website_organic,student_y1_y2,hobby,communication_english,positive_interaction,1,0.0,1,1
google_ads,working_professional,career_advancement,communication_english,interested_need_time,4,5.0,0,4-5
facebook,parent_enrolling,hobby,kids_english,not_answering,4,3.0,0,4-5
google_ads,student_y3_y4,study_abroad,ielts,not_answering,4,4.0,1,4-5
facebook,student_y1_y2,pass_exam,communication_english,rejected,4,10.0,0,4-5
facebook,student_y3_y4,hobby,communication_english,not_answering,7,,0,6+
google_ads,student_y3_y4,study_abroad,ielts,not_answering,6,16.0,0,6+
google_ads,student_y3_y4,hobby,communication_english,not_answering,3,10.0,0,2-3
facebook,student_y3_y4,study_abroad,communication_english,busy_call_back,2,2.0,1,2-3
facebook,working_professional,career_advancement,communication_english,busy_call_back,1,1.0,0,1
facebook,student_y3_y4,hobby,communication_english,rejected,3,2.0,1,2-3
facebook,student_y3_y4,pass_exam,toeic,busy_call_back,2,1.0,0,2-3
facebook,student_y1_y2,hobby,communication_english,wrong_number,1,5.0,1,1
tiktok,parent_enrolling,study_abroad,kids_english,interested_need_time,2,3.0,0,2-3
facebook,,hobby,ielts,interested_need_time,6,4.0,0,6+
referral,student_y3_y4,study_abroad,ielts,not_answering,1,8.0,1,1
referral,student_y1_y2,study_abroad,communication_english,not_answering,4,1.0,0,4-5
google_ads,working_professional,company_training,ielts,wrong_number,6,1.0,0,6+
facebook,unemployed,hobby,communication_english,positive_interaction,4,2.0,1,4-5
google_ads,student_y1_y2,study_abroad,communication_english,busy_call_back,1,23.0,1,1
website_organic,student_y1_y2,pass_exam,toeic,rejected,5,4.0,0,4-5
tiktok,student_y1_y2,career_advancement,toeic,positive_interaction,4,5.0,0,4-5
website_organic,working_professional,hobby,communication_english,not_answering,2,31.0,0,2-3
google_ads,parent_enrolling,pass_exam,kids_english,interested_need_time,3,3.0,1,2-3
google_ads,student_y3_y4,study_abroad,communication_english,positive_interaction,1,6.0,1,1
facebook,student_y3_y4,study_abroad,ielts,positive_interaction,4,21.0,1,4-5
tiktok,working_professional,career_advancement,data_analysis,not_answering,6,20.0,0,6+
facebook,working_professional,pass_exam,data_analysis,not_answering,3,27.0,0,2-3
tiktok,student_y1_y2,pass_exam,communication_english,busy_call_back,7,3.0,0,6+
website_organic,student_y1_y2,pass_exam,toeic,not_answering,2,3.0,1,2-3
facebook,student_y3_y4,pass_exam,toeic,not_answering,5,1.0,1,4-5
google_ads,working_professional,career_advancement,data_analysis,interested_need_time,4,5.0,1,4-5
facebook,working_professional,career_advancement,data_analysis,interested_need_time,1,8.0,1,1
tiktok,,pass_exam,data_analysis,not_answering,6,17.0,0,6+
facebook,unemployed,career_advancement,backend_nodejs,interested_need_time,6,30.0,0,6+
referral,student_y3_y4,pass_exam,toeic,not_answering,2,9.0,1,2-3
facebook,student_y3_y4,study_abroad,communication_english,busy_call_back,4,2.0,0,4-5
referral,student_y1_y2,career_advancement,ielts,positive_interaction,2,22.0,0,2-3
website_organic,unemployed,hobby,frontend,wrong_number,1,8.0,0,1
google_ads,working_professional,hobby,frontend,not_answering,2,0.0,0,2-3
tiktok,student_y3_y4,study_abroad,toeic,wrong_number,3,16.0,0,2-3
tiktok,student_y1_y2,hobby,communication_english,wrong_number,1,10.0,0,1
referral,working_professional,career_advancement,communication_english,interested_need_time,1,14.0,1,1
facebook,working_professional,company_training,communication_english,rejected,7,0.0,0,6+
google_ads,working_professional,career_advancement,data_analysis,not_answering,3,7.0,1,2-3
facebook,student_y1_y2,hobby,ielts,not_answering,5,10.0,0,4-5
google_ads,parent_enrolling,hobby,kids_english,positive_interaction,2,5.0,1,2-3
facebook,working_professional,career_advancement,data_analysis,busy_call_back,1,0.0,0,1
google_ads,working_professional,career_advancement,data_analysis,busy_call_back,4,15.0,0,4-5
google_ads,working_professional,pass_exam,data_analysis,not_answering,2,3.0,0,2-3
google_ads,parent_enrolling,study_abroad,kids_english,not_answering,3,16.0,0,2-3
google_ads,parent_enrolling,hobby,kids_english,not_answering,8,17.0,1,6+
